city,state,state_code
Abilene,Texas,TX
Akron,Ohio,OH
Alafaya,Florida,FL
Alameda,California,CA
Albany,Georgia,GA
Albany,New York,NY
Albuquerque,New Mexico,NM
Alexandria,Virginia,VA
Alhambra,California,CA
Allen,Pennsylvania,PA
Allen,Texas,TX
Amarillo,Texas,TX
Ames,Iowa,IA
Anaheim,California,CA
Anchorage,Alaska,AK
Ann Arbor,Michigan,MI
Antioch,California,CA
Apple Valley,California,CA
Appleton,Wisconsin,WI
Arden-Arcade,California,CA
Arlington,Texas,TX
Arlington,Virginia,VA
Arlington Heights,Illinois,IL
Arvada,Colorado,CO
Asheville,North Carolina,NC
Atascocita,Texas,TX
Athens-Clarke County unified government,Georgia,GA
Atlanta,Georgia,GA
Auburn,Washington,WA
Augusta-Richmond County consolidated government,Georgia,GA
Aurora,Colorado,CO
Aurora,Illinois,IL
Austin,Texas,TX
Avondale,Arizona,AZ
Bakersfield,California,CA
Baldwin Park,California,CA
Baltimore,Maryland,MD
Baton Rouge,Louisiana,LA
Bay,Texas,TX
Bayamón,Puerto Rico,PR
Bayonne,New Jersey,NJ
Beaumont,Texas,TX
Beaverton,Oregon,OR
Bellevue,Washington,WA
Bellflower,California,CA
Bellingham,Washington,WA
Bend,Oregon,OR
Berkeley,California,CA
Bethlehem,Pennsylvania,PA
Billings,Montana,MT
Birmingham,Alabama,AL
Bismarck,North Dakota,ND
Bk,California,CA
Bloomington,Illinois,IL
Bloomington,Indiana,IN
Bloomington,Minnesota,MN
Boca Raton,Florida,FL
Boise,Idaho,ID
Bolingbrook,Illinois,IL
Bossier City,Louisiana,LA
Boston,Massachusetts,MA
Boulder,Colorado,CO
Boynton Beach,Florida,FL
Brandon,Florida,FL
Brentwood,New York,NY
Bridgeport,Connecticut,CT
Brockton,Massachusetts,MA
Broken Arrow,Oklahoma,OK
Brooklyn Park,Minnesota,MN
Broomfield,Colorado,CO
Brownsville,Texas,TX
Bryan,Texas,TX
Buena Park,California,CA
Buffalo,New York,NY
Caguas,Puerto Rico,PR
Camarillo,California,CA
