city,state,median_age,tot_pop,avg_house_size,state_code,pct_male_pop,pct_female_pop,pct_native,pct_asian,pct_black,pct_hispanic,pct_white,pct_foreign_born,pct_veterans
Abilene,Texas,31.3,125876,2.64,TX,51.80653976929677,48.19346023070323,1.4403063332168164,2.3268931329244653,11.478756871842132,26.392640376243293,75.85798722552353,6.457942737297023,7.4414503161841825
Akron,Ohio,38.1,197553,2.24,OH,49.04304161414911,50.95695838585089,0.9339265918513008,4.572443850511002,33.68766862563464,1.8648160240543044,65.39612154712914,5.07408138575471,6.518756991794608
Alafaya,Florida,33.5,85264,2.94,FL,46.33139425783449,53.66860574216551,,12.122349408894724,7.7136892475136065,40.92817601801464,74.6692625258022,18.57993995121036,4.8977294051416775
Alameda,California,41.4,78614,2.52,CA,48.015620627369174,51.984379372630826,1.690538580914341,35.59671305365457,9.367288269265016,10.513394560765258,56.26478744244028,23.966469076754777,5.72925941944183
Albany,Georgia,33.3,71109,2.38,GA,44.572416993629496,55.4275830063705,0.6257998284324066,0.9140896370360996,75.15223108186024,2.507418188977485,24.13196641775303,1.2108171961355103,7.606632071889634
Albany,New York,32.8,98452,2.08,NY,48.37585828627147,51.62414171372853,1.6363303945069678,8.217202291471986,31.79518953398611,9.515296794376958,59.285743306382805,12.135863161743796,3.700280339657904
Albuquerque,New Mexico,36.0,559131,2.49,NM,48.883535343237995,51.116464656762005,5.7666271410456575,4.496262950900594,4.788502157812749,48.620806215359195,73.65840921000624,10.40900969540233,6.696641753006004
Alexandria,Virginia,36.6,153511,2.2,VA,48.84926813062256,51.15073186937744,0.7380578590459316,8.673645536801923,24.21194572375921,16.658741067415367,69.19048146386903,28.681983701493703,6.927842304460267
Alhambra,California,41.0,85572,2.89,CA,49.29649885476558,50.70350114523442,0.8028327022857945,51.49698499509186,2.2261954845042773,36.6778852895807,24.319870985836488,51.934043846117895,1.955078764081709
Allen,Pennsylvania,33.5,120207,2.67,PA,50.43466686632227,49.56533313367774,0.8951225802157945,2.2211684843644712,18.554659878376466,49.22841431863369,61.71603983129103,16.34846556356951,4.734333275100452
