ident,type,name,iso_country,iso_region,municipality,iata_code,state_code
00A,heliport,Total Rf Heliport,US,US-PA,Bensalem,,PA
00AA,small_airport,Aero B Ranch Airport,US,US-KS,Leoti,,KS
00AK,small_airport,Lowell Field,US,US-AK,Anchor Point,,AK
00AL,small_airport,Epps Airpark,US,US-AL,Harvest,,AL
00AR,closed,Newport Hospital & Clinic Heliport,US,US-AR,Newport,,AR
00AS,small_airport,Fulton Airport,US,US-OK,Alex,,OK
00AZ,small_airport,Cordes Airport,US,US-AZ,Cordes,,AZ
00CA,small_airport,Goldstone /Gts/ Airport,US,US-CA,Barstow,,CA
00CL,small_airport,Williams Ag Airport,US,US-CA,Biggs,,CA
00CN,heliport,Kitchen Creek Helibase Heliport,US,US-CA,Pine Valley,,CA
00CO,closed,Cass Field,US,US-CO,Briggsdale,,CO
00FA,small_airport,Grass Patch Airport,US,US-FL,Bushnell,,FL
00FD,heliport,Ringhaver Heliport,US,US-FL,Riverview,,FL
00FL,small_airport,River Oak Airport,US,US-FL,Okeechobee,,FL
00GA,small_airport,Lt World Airport,US,US-GA,Lithonia,,GA
00GE,heliport,Caffrey Heliport,US,US-GA,Hiram,,GA
00HI,heliport,Kaupulehu Heliport,US,US-HI,Kailua/Kona,,HI
00ID,small_airport,Delta Shores Airport,US,US-ID,Clark Fork,,ID
00IG,small_airport,Goltl Airport,US,US-KS,McDonald,,KS
00II,heliport,Bailey Generation Station Heliport,US,US-IN,Chesterton,,IN
00IL,small_airport,Hammer Airport,US,US-IL,Polo,,IL
00IN,heliport,St Mary Medical Center Heliport,US,US-IN,Hobart,,IN
00IS,small_airport,Hayenga's Cant Find Farms Airport,US,US-IL,Kings,,IL
00KS,small_airport,Hayden Farm Airport,US,US-KS,Gardner,,KS
00KY,small_airport,Robbins Roost Airport,US,US-KY,Stanford,,KY
00LA,heliport,Shell Chemical East Site Heliport,US,US-LA,Gonzales,,LA
00LL,heliport,Ac & R Components Heliport,US,US-IL,Chatham,,IL
00LS,small_airport,Lejeune Airport,US,US-LA,Esterwood,,LA
00MD,small_airport,Slater Field,US,US-MD,Federalsburg,,MD
00MI,heliport,Dow Chemical Heliport,US,US-MI,Ludington,,MI
00MN,small_airport,Battle Lake Municipal Airport,US,US-MN,Battle Lake,,MN
00MO,small_airport,Cooper Flying Service Airport,US,US-MO,Alba,,MO
00MT,closed,Sands Ranch Airport,US,US-MT,Havre,,MT
00N,small_airport,Bucks Airport,US,US-NJ,Bridgeton,,NJ
00NC,small_airport,North Raleigh Airport,US,US-NC,Louisburg,,NC
00NJ,heliport,Colgate-Piscataway Heliport,US,US-NJ,New Brunswick,,NJ
00NK,seaplane_base,Cliche Cove Seaplane Base,US,US-NY,Beekmantown,,NY
00NY,small_airport,Weiss Airfield,US,US-NY,West Bloomfield,,NY
00OH,small_airport,Exit 3 Airport,US,US-OH,Wauseon,,OH
00OI,heliport,Miami Valley Hospital Heliport,US,US-OH,Dayton,,OH
00OK,small_airport,Gull Bay Landing Airport,US,US-OK,Sandsprings,,OK
00OR,heliport,Steel Systems Heliport,US,US-OR,Salem,,OR
00PA,heliport,R J D Heliport,US,US-PA,Coatesville,,PA
00PN,small_airport,Ferrell Field,US,US-PA,Mercer,,PA
00PS,closed,Thomas Field,US,US-PA,Loysville,,PA
00S,small_airport,Mc Kenzie Bridge State Airport,US,US-OR,Mc Kenzie Bridge,,OR
00SC,small_airport,Flying O Airport,US,US-SC,Sumter,,SC
00SD,small_airport,Homan Field,US,US-SD,Gary,,SD
00TA,heliport,Sw Region Faa Heliport,US,US-TX,Fort Worth,,TX
00TE,heliport,Tcjc-Northeast Campus Heliport,US,US-TX,Fort Worth,,TX
00TN,small_airport,Ragsdale Road Airport,US,US-TN,Manchester,,TN
00TS,small_airport,Alpine Range Airport,US,US-TX,Everman,,TX
00TX,closed,San Jacinto Methodist Hospital Heliport,US,US-TX,Baytown,,TX
00UT,closed,Clear Creek Ranch Airport,US,US-UT,Kanab,,UT
00VA,small_airport,Vaughan Airport,US,US-VA,Alton,,VA
00VI,small_airport,Groundhog Mountain Airport,US,US-VA,Hillsville,,VA
00W,small_airport,Lower Granite State Airport,US,US-WA,Colfax,,WA
00WA,small_airport,Howell Airport,US,US-WA,Longbranch,,WA
00WI,small_airport,Northern Lite Airport,US,US-WI,Waupaca,,WI
00WN,small_airport,Hawks Run Airport,US,US-WA,Asotin,,WA
00WV,small_airport,Lazy J. Aerodrome,US,US-WV,Beverly,,WV
00WY,heliport,Mountain View Regional Hospital Heliport,US,US-WY,Casper,,WY
00XS,small_airport,L P Askew Farms Airport,US,US-TX,O'Donnell,,TX
01A,small_airport,Purkeypile Airport,US,US-AK,Purkeypile,,AK
01AK,heliport,Providence Seward Medical Center Heliport,US,US-AK,Seward,,AK
01AL,small_airport,Ware Island Airport,US,US-AL,Clanton,,AL
01AR,heliport,Community Hospital of De Queen Heliport,US,US-AR,De Queen,,AR
01AZ,heliport,Yat Heliport,US,US-AZ,Camp Verde,,AZ
01C,closed,Grant Airport,US,US-MI,Grant,,MI
01CA,heliport,Lugo Substation Heliport,US,US-CA,Hesperia,,CA
01CL,small_airport,Swansboro Country Airport,US,US-CA,Placerville,,CA
01CN,heliport,Los Angeles County Sheriff's Department Heliport,US,US-CA,Los Angeles,,CA
01CO,heliport,St Vincent General Hospital Heliport,US,US-CO,Leadville,,CO
01CT,heliport,Berlin Fairgrounds Heliport,US,US-CT,Berlin,,CT
01FA,small_airport,Rybolt Ranch Airport,US,US-FL,Orlando,,FL
01FD,heliport,Advent Health Altamonte Springs Heliport,US,US-FL,Altamonte Springs,,FL
01FL,small_airport,Cedar Knoll Flying Ranch Airport,US,US-FL,Geneva,,FL
01GA,heliport,Medical Center Heliport,US,US-GA,Columbus,,GA
01GE,small_airport,The Farm Airport,US,US-GA,Wrightsville,,GA
01IA,small_airport,Stender Airport,US,US-IA,Maysville,,IA
01ID,small_airport,Lava Hot Springs Airport,US,US-ID,Lava Hot Springs,,ID
01II,small_airport,Myers Field,US,US-IN,Lizton,,IN
01IL,heliport,Hoopeston Community Memorial Hospital Heliport,US,US-IL,Hoopeston,,IL
01IN,heliport,Community Hospital Heliport,US,US-IN,Anderson,,IN
01IS,small_airport,William E. Koenig Airport,US,US-IL,Dow,,IL
01J,small_airport,Hilliard Airpark,US,US-FL,Hilliard,,FL
01K,small_airport,Caldwell Municipal Airport,US,US-KS,Caldwell,,KS
01KS,small_airport,Flying N Ranch Airport,US,US-KS,Lost Springs,,KS
01KY,heliport,Lourdes Hospital Heliport,US,US-KY,Paducah,,KY
01LA,small_airport,Barham Airport,US,US-LA,Oak Ridge,,LA
01LL,small_airport,Schumaier Restricted Landing Area,US,US-IL,Pinckneyville,,IL
01LS,small_airport,Country Breeze Airport,US,US-LA,Slaughter,,LA
01MA,heliport,Compaq Andover Heliport,US,US-MA,Andover,,MA
01MD,seaplane_base,Annapolis Seaplane Base,US,US-MD,Annapolis,,MD
01ME,seaplane_base,Saint Peter's Seaplane Base,US,US-ME,Portage Lake,,ME
01MI,heliport,Flow Through Terminal Heliport,US,US-MI,Flint,,MI
01MN,seaplane_base,Barnes Seaplane Base,US,US-MN,Cook,,MN
01MO,heliport,Highway Patrol Troop C Headquarters Heliport,US,US-MO,Town and Country,,MO
01MT,small_airport,Crystal Lakes Resort Airport,US,US-MT,Fortine,,MT
01NC,small_airport,Topsail Airpark,US,US-NC,Holly Ridge,,NC
01NE,small_airport,Detour Airport,US,US-NE,Wellfleet,,NE
01NH,small_airport,Moore Airfield,US,US-NH,Canaan,,NH
01NJ,heliport,Albert Guido Memorial Heliport,US,US-NJ,Newark,,NJ
01NM,small_airport,Champion Ranch Airport,US,US-NM,Artesia,,NM
01NV,small_airport,Lantana Ranch Airport,US,US-NV,Yerington,,NV
01NY,heliport,Vassar Hospital Heliport,US,US-NY,Poughkeepsie,,NY
01OI,heliport,Galion Community Hospital Heliport,US,US-OH,Galion,,OH
01OK,closed,Lawrence Airport,US,US-OK,Eakly,,OK
01OR,closed,Red & White Flying Service Airport,US,US-OR,Silver Lake,,OR
01PA,heliport,Pine Heliport,US,US-PA,Mars,,PA
01PN,small_airport,Bierly(Personal Use) Airport,US,US-PA,Bellefonte,,PA
01PS,small_airport,Nort's Resort Airport,US,US-PA,Meshoppen,,PA
01SC,small_airport,York Airport,US,US-SC,York,,SC
01TA,heliport,Thirty Thirty Matlock Office Center Heliport,US,US-TX,Arlington,,TX
01TE,small_airport,Smith Field,US,US-TX,Forney,,TX
01TN,small_airport,Colonial Air Park,US,US-TN,Collierville,,TN
01TS,closed,St Joseph Hospital Heliport,US,US-TX,Fort Worth,,TX
01TX,small_airport,Mims Farm Ultralightport,US,US-TX,Waxahachie,,TX
01U,small_airport,Duckwater Airport,US,US-NV,Duckwater,,NV
01UT,small_airport,La Sal Junction Airport,US,US-UT,La Sal,,UT
01VA,small_airport,Pickles Airport,US,US-VA,Berryville,,VA
01WA,heliport,Willapa Harbor Heliport,US,US-WA,South Bend,,WA
01WI,small_airport,Prehn Cranberry Company Airport,US,US-WI,Tomah,,WI
01WN,heliport,Whidbey General Hospital Heliport,US,US-WA,Coupeville,,WA
01WT,heliport,Odyssey Heliport,US,US-WA,Renton,,WA
01WY,small_airport,Keyhole Airport,US,US-WY,Moorcroft,,WY
01XA,heliport,Seton Medical Center Hays Heliport,US,US-TX,Kyle,,TX
01XS,heliport,Meadowood Ranch Heliport,US,US-TX,Athens,,TX
02AK,small_airport,Rustic Wilderness Airport,US,US-AK,Willow,,AK
02AL,small_airport,Bass Field,US,US-AL,Foley,,AL
02AR,closed,Three Rivers Airport,US,US-AR,Little Rock,,AR
02AZ,closed,Winchester Farm Airstrip,US,US-AZ,Willcox,,AZ
02CA,heliport,Swepi Beta Platform Ellen Heliport,US,US-CA,Huntington Beach,,CA
